id1;left_preview;id2;right_preview;matchness;score;embedding_similarity;key_overlap_score;rarity_score;bin;bin_reason;source_blockers_display;corner;label;;
left_001954;player_name: Emmanuel Agbadou | positions_position: DF | clubs_club: Reims, Wolves;right_064517;player_name: emmanuel nidoy | positions_position: DC | clubs_club: FC Villefranche-Beaujolais B;0.8188146464008533;0.59233295440192;;1;0.008547008547008548;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_002203;player_name: Filip Stankovic | positions_position: GK | clubs_club: Volendam;right_038003;player_name: filip stuparevic | positions_position: ST | clubs_club: Motherwell FC;0.761098558033424;0.46247175557520387;;1;0.007692307692307693;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_004490;player_name: Mamadou Sakho | positions_position: DF | clubs_club: Montpellier;right_055623;player_name: mohamed sakho | positions_position: DM | clubs_club: Unknown;0.8112746720664983;0.5753680121496214;;1;0.009523809523809525;EASY_POS;EASY_POS;TokenBlocker;TRUE;0;;
left_004835;player_name: Matteo Cancellieri | positions_position: FW,MF, FW | clubs_club: Lazio, Empoli;right_012565;player_name: matteo ricci | positions_position: DM | clubs_club: UC Sampdoria;0.8291544319641382;0.615597471919311;;1;0.002857142857142857;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_006954;player_name: Tom Boere | positions_position: FW | clubs_club: Cambuur;right_006940;player_name: tom boere | positions_position: ST | clubs_club: KSC Lokeren;0.7788675540910533;0.5024519967048703;;1;0.005917159763313609;EASY_POS;EASY_POS;TokenBlocker;TRUE;1;;
left_001550;player_name: David Neres | positions_position: FW,MF, MF, FW | clubs_club: Benfica, Napoli;right_008968;player_name: david stipek | positions_position: MR | clubs_club: DJK Ast;0.7945760781009824;0.5377961757272103;;1;0.0015151515151515152;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_001024;player_name: Bruno Méndez | positions_position: DF | clubs_club: Toluca, Granada;right_009052;player_name: bruno uvini | positions_position: DC | clubs_club: Without Club;0.8115252138240645;0.575931731104145;;1;0.003937007874015748;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_001261;player_name: Christopher Mamengi | positions_position: DF, DF,FW | clubs_club: Almere City;right_034629;player_name: lars christopher vilsvik | positions_position: DR | clubs_club: Strømsgodset IF;0.7939127783854543;0.5363037513672723;;1;0.011904761904761904;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_001322;player_name: Cristian | positions_position: GK | clubs_club: Valencia;right_026394;player_name: cristian perez | positions_position: DC | clubs_club: Retired;0.7695878692047274;0.48157270571063676;;1;0.004975124378109453;EASY_POS;EASY_POS;TokenBlocker;TRUE;0;;
left_003438;player_name: Jordan Silva | positions_position: DF,MF, DF | clubs_club: Cruz Azul, Querétaro, Atlético;right_012028;player_name: luis silva | positions_position: MC | clubs_club: Académico Viseu FC;0.7556947569718963;0.4503132031867665;;1;0.002364066193853428;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_001279;player_name: Claudemir de Souza | positions_position: MF | clubs_club: Vizela;right_002546;player_name: de pievre ilunga | positions_position: MC | clubs_club: Örebro Syrianska IF;0.7973555998695475;0.5440500997064821;;1;0.0016806722689075631;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_005739;player_name: Paulo Victor | positions_position: FW,MF, DF,MF | clubs_club: Farense, Chaves;right_028754;player_name: paulo moreira | positions_position: MC | clubs_club: CF Estrela Amadora;0.8020101557777164;0.554522850499862;;1;0.0033003300330033004;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_001524;player_name: Dave Van Den Berg | positions_position: MF | clubs_club: Zwolle;right_060852;player_name: tim van den heuvel | positions_position: MC | clubs_club: Hannover 96 II;0.8156763950468406;0.5852718888553914;;1;0.0022471910112359553;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_004571;player_name: Marco D'Alessandro | positions_position: DF,FW | clubs_club: Monza;right_032508;player_name: marco libertino | positions_position: DL | clubs_club: Without Club;0.8262333853649307;0.6090251170710941;;1;0.001176470588235294;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_006928;player_name: Timon Wellenreuther | positions_position: GK | clubs_club: Feyenoord;right_055511;player_name: timon vanhoutte | positions_position: GK | clubs_club: RSCA Futures;0.8596989138092856;0.6843225560708925;;1;0.16666666666666666;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_000272;player_name: Alessandro Di Pardo | positions_position: DF,MF, DF | clubs_club: Cagliari;right_035336;player_name: alessandro del piero | positions_position: ST | clubs_club: Retired;0.7671680264945037;0.47612805961263316;;1;0.0016835016835016834;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
left_006843;player_name: Thom van Bergen | positions_position: FW,DF, FW | clubs_club: Groningen;right_051621;player_name: thom van bergen | positions_position: ST | clubs_club: FC Groningen;0.8128152534282802;0.5788343202136306;;1;0.0024390243902439024;EASY_POS;EASY_POS;TokenBlocker;TRUE;1;;
left_001104;player_name: Carlos Clerc | positions_position: DF,MF | clubs_club: Elche;right_011574;player_name: carlos ascues | positions_position: DC | clubs_club: Alianza Universidad;0.8301144024878649;0.6177574055976961;;1;0.002777777777777778;EASY_POS;EASY_POS;TokenBlocker;FALSE;0;;
